title,artist,average characters,uniqueness,num long words,im,like,na,got,oh,know,dont,love,get,go,baby,let,girl,make,wan,yeah,want,youre,cause,see,one,cant,gon,say,aint,time,never,right,take,way
photograph,nickelback,4.73517786561,0.498023715415,0.0,0.0,0.0,0.0,0.0,0.0,0.00790513833992,0.0118577075099,0.0,0.0,0.00395256916996,0.00395256916996,0.0,0.00395256916996,0.00395256916996,0.0118577075099,0.0,0.0,0.0,0.0,0.0,0.0,0.00395256916996,0.0118577075099,0.0,0.0513833992095,0.0,0.0395256916996,0.00790513833992,0.0,0.0,0.0
because of you,kelly clarkson,5.008,0.608,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.016,0.032,0.0,0.032,0.0,0.0,0.024,0.0,0.008,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.024
stickwitu,pussycat dolls,4.32444444444,0.32,0.0,0.0,0.0711111111111,0.00444444444444,0.0355555555556,0.00888888888889,0.0,0.0444444444444,0.0177777777778,0.0266666666667,0.0,0.00888888888889,0.0222222222222,0.0,0.0,0.0,0.0,0.0,0.0133333333333,0.00444444444444,0.00444444444444,0.00444444444444,0.00444444444444,0.0,0.0888888888889,0.00444444444444,0.0177777777778,0.0,0.0,0.00444444444444,0.0177777777778,0.0222222222222
my humps,the black eyed peas,4.29705882353,0.376470588235,0.0,0.0,0.0117647058824,0.0,0.00294117647059,0.0264705882353,0.0176470588235,0.0,0.00588235294118,0.0264705882353,0.0441176470588,0.0,0.00294117647059,0.00588235294118,0.00294117647059,0.0529411764706,0.00294117647059,0.0,0.00294117647059,0.0,0.0,0.0,0.0,0.00294117647059,0.0205882352941,0.00882352941176,0.00882352941176,0.0117647058824,0.0,0.00294117647059,0.0,0.0
whered you go,fort minor featuring holly brook and jonah matranga,4.77292576419,0.475982532751,0.0,0.0,0.0174672489083,0.0393013100437,0.00436681222707,0.00436681222707,0.0,0.0218340611354,0.0131004366812,0.0,0.00436681222707,0.0218340611354,0.0,0.0,0.0,0.0,0.00436681222707,0.0,0.0131004366812,0.00436681222707,0.00436681222707,0.0,0.00436681222707,0.0,0.0,0.00873362445415,0.0,0.0131004366812,0.0,0.0,0.0,0.00436681222707
yo excuse me miss,chris brown,4.62962962963,0.466666666667,0.0,0.0,0.0037037037037,0.0222222222222,0.0,0.0407407407407,0.0148148148148,0.0333333333333,0.0222222222222,0.0148148148148,0.00740740740741,0.00740740740741,0.0111111111111,0.00740740740741,0.00740740740741,0.00740740740741,0.0,0.0037037037037,0.0333333333333,0.0259259259259,0.0,0.0,0.00740740740741,0.0,0.0,0.0185185185185,0.00740740740741,0.0037037037037,0.0037037037037,0.0,0.0,0.0037037037037
walk away,kelly clarkson,4.71951219512,0.579268292683,0.0,0.0,0.0121951219512,0.00609756097561,0.00609756097561,0.00609756097561,0.00609756097561,0.0243902439024,0.030487804878,0.00609756097561,0.0121951219512,0.0182926829268,0.0121951219512,0.00609756097561,0.0,0.0,0.0,0.0182926829268,0.0182926829268,0.0,0.00609756097561,0.0,0.0,0.0,0.00609756097561,0.0121951219512,0.0,0.0,0.0121951219512,0.0,0.0,0.00609756097561
laffy taffy,d4l,4.44675925926,0.400462962963,0.0,0.0,0.0138888888889,0.00694444444444,0.00925925925926,0.0115740740741,0.0115740740741,0.00925925925926,0.00925925925926,0.0,0.00925925925926,0.0162037037037,0.00231481481481,0.0138888888889,0.0532407407407,0.0,0.00925925925926,0.0,0.0,0.0,0.00694444444444,0.00231481481481,0.00231481481481,0.00231481481481,0.00231481481481,0.00231481481481,0.00462962962963,0.00462962962963,0.0,0.00462962962963,0.0,0.00462962962963
what you know,ti,4.46575342466,0.495890410959,0.0,0.0,0.013698630137,0.0027397260274,0.00547945205479,0.027397260274,0.0,0.117808219178,0.0246575342466,0.0,0.013698630137,0.0,0.0,0.0,0.0,0.00547945205479,0.00547945205479,0.0,0.0,0.0,0.00547945205479,0.00821917808219,0.0,0.0,0.0,0.0027397260274,0.0,0.0,0.0027397260274,0.0,0.0027397260274,0.0
savin me,nickelback,4.52083333333,0.381944444444,0.0,0.0,0.111111111111,0.0208333333333,0.0,0.00694444444444,0.0277777777778,0.0,0.0,0.00694444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00694444444444,0.0208333333333,0.00694444444444,0.0,0.0763888888889,0.00694444444444,0.0,0.0,0.0208333333333,0.0,0.0
dont forget about us,mariah carey,4.74538745387,0.365313653137,0.0,0.0,0.0184501845018,0.0110701107011,0.00738007380074,0.00369003690037,0.0,0.0110701107011,0.0959409594096,0.0147601476015,0.00369003690037,0.0147601476015,0.0627306273063,0.0258302583026,0.0,0.0,0.00738007380074,0.0,0.0147601476015,0.00369003690037,0.0,0.0184501845018,0.00738007380074,0.0147601476015,0.0,0.00369003690037,0.0,0.00369003690037,0.00369003690037,0.0,0.0,0.0
sexy love,neyo,4.1615720524,0.296943231441,0.0,0.0,0.0131004366812,0.00436681222707,0.0,0.0,0.0349344978166,0.0218340611354,0.00436681222707,0.0698689956332,0.0,0.00436681222707,0.0829694323144,0.0,0.0480349344978,0.0305676855895,0.0,0.0,0.0,0.0,0.0,0.00873362445415,0.00873362445415,0.0131004366812,0.0,0.0218340611354,0.0,0.0,0.0,0.0,0.0,0.00873362445415
u and dat,e40 featuring tpain and kandi girl,4.78175895765,0.511400651466,0.0,0.0,0.0260586319218,0.0130293159609,0.0293159609121,0.00651465798046,0.0,0.0130293159609,0.00977198697068,0.00325732899023,0.0781758957655,0.00325732899023,0.0,0.00325732899023,0.00325732899023,0.0,0.00325732899023,0.00325732899023,0.00651465798046,0.0,0.0,0.00651465798046,0.0,0.00651465798046,0.0260586319218,0.0,0.00651465798046,0.0,0.0,0.00325732899023,0.0,0.00325732899023
far away,nickelback,4.53797468354,0.392405063291,0.0,0.0,0.0126582278481,0.0,0.0,0.0,0.0,0.0379746835443,0.0126582278481,0.0189873417722,0.0,0.0379746835443,0.0,0.0253164556962,0.0,0.00632911392405,0.0,0.0,0.0,0.0,0.0379746835443,0.0126582278481,0.0253164556962,0.0,0.0,0.00632911392405,0.0,0.00632911392405,0.0379746835443,0.0,0.0,0.0
whats left of me,nick lachey,5.11445783133,0.463855421687,0.0,0.0,0.066265060241,0.0301204819277,0.00602409638554,0.0,0.0,0.0,0.00602409638554,0.0,0.0,0.00602409638554,0.0,0.0,0.0,0.00602409638554,0.00602409638554,0.0180722891566,0.0180722891566,0.0,0.0,0.00602409638554,0.0,0.0,0.0,0.0,0.0,0.00602409638554,0.0180722891566,0.0,0.0421686746988,0.0
so what,field mob featuring ciara,4.87048192771,0.46686746988,0.0,0.0,0.0240963855422,0.0180722891566,0.0,0.0301204819277,0.0,0.0,0.0210843373494,0.00903614457831,0.00301204819277,0.00301204819277,0.0,0.00602409638554,0.00301204819277,0.0,0.0,0.0,0.00301204819277,0.00602409638554,0.00602409638554,0.00602409638554,0.00301204819277,0.00301204819277,0.00602409638554,0.039156626506,0.0271084337349,0.0,0.00301204819277,0.0,0.0,0.0
do it to it,cherish featuring sean p,4.27329192547,0.39751552795,0.0,0.0,0.0124223602484,0.0,0.0,0.0124223602484,0.0,0.0310559006211,0.00310559006211,0.0,0.00310559006211,0.00310559006211,0.0,0.0,0.0,0.0124223602484,0.0,0.0,0.0,0.0,0.0,0.0,0.00310559006211,0.00310559006211,0.0,0.0,0.0,0.0,0.0,0.0124223602484,0.0,0.0
black horse and the cherry tree,kt tunstall,4.19774011299,0.435028248588,0.0,0.0,0.00564971751412,0.0,0.00564971751412,0.00564971751412,0.00564971751412,0.0112994350282,0.00564971751412,0.0,0.0112994350282,0.0,0.0,0.00564971751412,0.0,0.0,0.0,0.0282485875706,0.0,0.0338983050847,0.0169491525424,0.00564971751412,0.0395480225989,0.0112994350282,0.00564971751412,0.0,0.0,0.0,0.0,0.0,0.0,0.00564971751412
there it go the whistle song,juelz santana,4.1102661597,0.41825095057,0.0,0.0,0.0304182509506,0.0114068441065,0.00380228136882,0.00760456273764,0.00760456273764,0.00760456273764,0.0114068441065,0.0,0.0304182509506,0.0988593155894,0.041825095057,0.0190114068441,0.0456273764259,0.0152091254753,0.00380228136882,0.0,0.0114068441065,0.0,0.0,0.0114068441065,0.0,0.0,0.0,0.0,0.00380228136882,0.0114068441065,0.0,0.00380228136882,0.00380228136882,0.0
shoulder lean,young dro featuring ti,4.70967741935,0.38064516129,0.0,0.0,0.0129032258065,0.00645161290323,0.0,0.00430107526882,0.0,0.00645161290323,0.00430107526882,0.0,0.0236559139785,0.0,0.0,0.116129032258,0.00430107526882,0.0,0.0,0.0,0.0,0.0,0.00430107526882,0.0172043010753,0.0,0.00215053763441,0.0,0.00215053763441,0.00430107526882,0.0,0.0,0.0344086021505,0.00430107526882,0.0
unpredictable,jamie foxx featuring ludacris,4.93410852713,0.496124031008,0.0,0.0,0.0271317829457,0.031007751938,0.0,0.0193798449612,0.00387596899225,0.0116279069767,0.00387596899225,0.00387596899225,0.046511627907,0.0,0.046511627907,0.015503875969,0.0232558139535,0.0232558139535,0.0,0.00387596899225,0.0,0.00387596899225,0.0,0.0116279069767,0.0116279069767,0.0,0.0,0.00387596899225,0.015503875969,0.00387596899225,0.0387596899225,0.0116279069767,0.0116279069767,0.0
my love,justin timberlake featuring ti,4.39447236181,0.366834170854,0.0,0.0,0.00251256281407,0.00251256281407,0.0226130653266,0.0100502512563,0.0,0.0,0.0552763819095,0.072864321608,0.00251256281407,0.00753768844221,0.0175879396985,0.0100502512563,0.0150753768844,0.0100502512563,0.0150753768844,0.0,0.00753768844221,0.0,0.0125628140704,0.0251256281407,0.00502512562814,0.00502512562814,0.00753768844221,0.00502512562814,0.0427135678392,0.00251256281407,0.00251256281407,0.0,0.0150753768844,0.0
shake that,eminem featuring nate dogg,4.63746958637,0.54501216545,0.0,0.0,0.021897810219,0.00729927007299,0.00486618004866,0.00729927007299,0.00486618004866,0.00243309002433,0.0121654501217,0.0,0.0389294403893,0.0121654501217,0.00486618004866,0.0121654501217,0.043795620438,0.0,0.00486618004866,0.00243309002433,0.00729927007299,0.00243309002433,0.00243309002433,0.0,0.0121654501217,0.0,0.0,0.00973236009732,0.00486618004866,0.0,0.0,0.00486618004866,0.00243309002433,0.00486618004866
pullin me back,chingy featuring tyrese,4.9696969697,0.45202020202,0.0,0.0,0.0176767676768,0.010101010101,0.00252525252525,0.0176767676768,0.0,0.00252525252525,0.00505050505051,0.00252525252525,0.00252525252525,0.0126262626263,0.00505050505051,0.00505050505051,0.00252525252525,0.0151515151515,0.00252525252525,0.0,0.0,0.0,0.0,0.00252525252525,0.00505050505051,0.00252525252525,0.010101010101,0.00252525252525,0.020202020202,0.0429292929293,0.0,0.00252525252525,0.0,0.0
bossy,kelis featuring too short,4.45434298441,0.351893095768,0.0,0.0,0.0623608017817,0.00890868596882,0.0,0.0,0.0,0.00445434298441,0.0155902004454,0.0133630289532,0.00890868596882,0.0244988864143,0.0022271714922,0.0022271714922,0.0178173719376,0.00445434298441,0.0,0.0,0.00890868596882,0.0,0.0133630289532,0.0,0.011135857461,0.00668151447661,0.00668151447661,0.0,0.0,0.0022271714922,0.0022271714922,0.0178173719376,0.0,0.0
chain hang low,jibbs,4.46648793566,0.361930294906,0.0,0.0,0.0134048257373,0.0214477211796,0.0,0.00268096514745,0.0,0.00536193029491,0.00536193029491,0.0,0.0,0.0,0.0,0.0214477211796,0.0,0.0134048257373,0.0,0.00804289544236,0.0,0.0,0.00268096514745,0.00268096514745,0.0,0.0,0.0,0.0,0.00268096514745,0.00268096514745,0.00536193029491,0.0,0.0,0.00268096514745
